			F0	F0	F1	F1	GEN
W4	0.20408163265306123	1	2.8761883904174	0.8895024479134235	3.1601557964182816	0.8894947683486176	0.8218767692933815
W5	0.20408163265306123	1	3.0889589201606307	0.8970474851576152	3.4230948650770077	0.8971444284359744	0.8225451519948297
W6	0.20408163265306123	1	3.3114401591008815	0.9049974843445832	3.7021243415704017	0.9052242269612111	0.8232510512666618
W7	0.20408163265306123	1	3.5433848201656915	0.9133633207481292	3.9974713954256655	0.9137481861115289	0.8239956747504041
W8	0.20408163265306123	1	3.784433402287162	0.9221563498053835	4.3093564229315655	0.9227314838253744	0.8247804733774772
W9	0.20408163265306123	1	4.034390830331527	0.9313880656858595	4.637698533808571	0.9321877791701815	0.8256062272035328
W10	0.20408163265306123	1	4.292627243623234	0.9410691733545297	4.982792691299013	0.9421336015004332	0.8264749592701435
W11	0.20408163265306123	1	4.558706839525889	0.9512086084628962	5.344388882464377	0.9525813129919964	0.827387544680659
W12	0.20408163265306123	1	4.832136833212689	0.9618158815046892	5.722342636799902	0.9635446071746376	0.8283451411853089
W13	0.20408163265306123	1	5.112359919595094	0.9728987665898375	6.116384938225694	0.9750357740725881	0.8293488052308001
W14	0.20408163265306123	1	5.398785619592348	0.984463999667131	6.526158496577177	0.9870662839098548	0.8303995172309957
W15	0.20408163265306123	1	5.690798952514525	0.9965174081659767	6.951216000941051	0.9996468737338603	0.8314981781817066
W16	0.20408163265306123	1	5.98777216674173	1.0090637573862462	7.391036970759475	1.0127874058111959	0.8326456108307926
W17	0.20408163265306123	1	6.289087489597717	1.0221071082962432	7.845028776407233	1.0264971069699795	0.8338425469969856
W18	0.20408163265306123	1	6.5941148010974855	1.0356500300267941	8.312525380613405	1.040783936206923	0.8350896266811169
W19	0.20408163265306123	1	6.902300828223652	1.0496962006383583	8.792803819004282	1.0556567003914927	0.836387430242134
W20	0.20408163265306123	1	7.213038117702834	1.064245205306587	9.285080908057584	1.0711204813263502	0.8377363068287274
W21	0.20408163265306123	1	7.525795952422206	1.079298176519844	9.788564097207567	1.0871817954279566	0.8391366530515306
W22	0.20408163265306123	1	7.840069585101283	1.0948549238026428	10.302397074404421	1.1038457968107267	0.8405887115726063
W23	0.20408163265306123	1	8.155403430538346	1.110914635316633	10.825714888432826	1.1211169318059684	0.8420926243809398
W24	0.20408163265306123	1	8.471361586156089	1.1274759350019268	11.357654953013986	1.13899908862091	0.8436484710818071
W25	0.20408163265306123	1	8.787559026616028	1.1445386924881065	11.897377634336179	1.1574974961180757	0.8452564504807706
W26	0.20408163265306123	1	9.103706039434648	1.1620983606012585	12.443946513561443	1.176611906154868	0.8469160374575149
W27	0.20408163265306123	1	9.419504539571701	1.180154103430691	12.996552720549186	1.1963465119960741	0.8486272511320484
W28	0.20408163265306123	1	9.734686949897307	1.1987023595079878	13.554346398830862	1.2167024662915087	0.8503897986068643
W29	0.20408163265306123	1	10.049064987632539	1.217740704162157	14.11653609061461	1.2376816289179071	0.8522033300905318
W30	0.20408163265306123	1	10.362477018895957	1.2372663538530815	14.682354737803326	1.2592853544931895	0.8540674317703276
W31	0.20408163265306123	1	10.674773144387379	1.2572744092407393	15.251073574121149	1.281512628484066	0.8559814608977385
W32	0.20408163265306123	1	10.985935204889374	1.2777682601591411	15.821998255773503	1.3043706227090204	0.8579453868943221
W33	0.20408163265306123	1	11.295843222660713	1.2987401936135545	16.39449424499141	1.327854783605505	0.8599581360423845
W34	0.20408163265306123	1	11.60445917708203	1.3201887748196057	16.967974169815754	1.3519670425335877	0.8620192163891516
W35	0.20408163265306123	1	11.91172275457815	1.3421101732703633	17.54192239093755	1.3767065238243759	0.8641278442136914
W36	0.20408163265306123	1	12.217744066760423	1.3645067152827548	18.11575612531535	1.4020780318796064	0.8662835713394772
W37	0.20408163265306123	1	12.52247846367155	1.3873744438842968	18.689084764111943	1.4280804893087333	0.8684856035191135
W38	0.20408163265306123	1	12.825983357010024	1.4107126581781495	19.261474544506545	1.4547150545541532	0.8707331122998417
W39	0.20408163265306123	1	13.128297126375513	1.4345208683928365	19.832571775278414	1.4819834085341592	0.8730253987121556
W40	0.20408163265306123	1	13.429470539163065	1.458797505390401	20.402055153633455	1.509885787376007	0.8753615967045243
W41	0.20408163265306123	1	13.729571236329486	1.483543025867498	20.969641378974202	1.5384242705171913	0.8777409530418886
W42	0.20408163265306123	1	14.028688089525831	1.5087570220161146	21.53505580133742	1.567599656174763	0.8801625656585673
W43	0.20408163265306123	1	14.326772511794012	1.5344398918007986	22.098230425339963	1.5974145182122168	0.8826258469913266
W44	0.20408163265306123	1	14.624012241961832	1.5605939676006904	22.658867450299933	1.627871621199843	0.8851299027808051
W45	0.20408163265306123	1	14.920426380995494	1.5872194798988837	23.21687807513572	1.6589724938599852	0.8876739439310011
W46	0.20408163265306123	1	15.216079622138539	1.6143179936441503	23.772155826838013	1.6907196434110445	0.8902571915268948
W47	0.20408163265306123	1	15.5110425191477	1.6418915476066502	24.324618483267614	1.7231158933648654	0.8928788583977825
W48	0.20408163265306123	1	15.805387771853418	1.669941610823298	24.874175204811625	1.7561633493100282	0.8955381703142175
W49	0.20408163265306123	1	16.09914228587103	1.698471231214181	25.420850200204928	1.789866000440131	0.8982344347879812
W50	0.20408163265306123	1	16.392331928354412	1.727482953154406	25.96465398933163	1.8242272442369962	0.9009669841737601
W51	0.20408163265306123	1	16.685085829977403	1.756980073655011	26.505499021215645	1.85925031593063	0.9037349964540003
W52	0.20408163265306123	1	16.97754190854589	1.7869631155663215	27.043291724631597	1.894935020361203	0.9065373339196381
W53	0.20408163265306123	1	17.26945331392834	1.817439331137455	27.57840595103395	1.9312922732321147	0.9093743083919211
W54	0.20408163265306123	1	17.560997594761446	1.8484116672747477	28.110723312089956	1.9683242170840287	0.9122449625942809
W55	0.20408163265306123	1	17.852245942452402	1.8798825528625112	28.64026228133492	2.006033028192243	0.9151483584138922
W56	0.20408163265306123	1	18.143161417814543	1.9118561481109595	29.16714659881947	2.044424186074804	0.9180842282938809
W57	0.20408163265306123	1	18.433858112985625	1.944336822195579	29.691364466345323	2.0835014725020597	0.9210516929339404
W58	0.20408163265306123	1	18.724323581440768	1.977328823464702	30.213028298471063	2.1232699790429765	0.9240503352015549
W59	0.20408163265306123	1	19.014592471619007	2.010837184002094	30.732211227017746	2.163735145273846	0.9270796434026085
W60	0.20408163265306123	1	19.304659346491736	2.044864637606221	31.24900972742477	2.2049000155778713	0.9301390444368907
W61	0.20408163265306123	1	19.59458492607248	2.0794210817868333	31.763480389132834	2.246775284088623	0.933228450596216
W62	0.20408163265306123	1	19.884335101819897	2.114503332351952	32.27574787759153	2.2893573781127023	0.9363467315455565
W63	0.20408163265306123	1	20.173939887093056	2.150118240464273	32.78588241289318	2.3326536583030335	0.9394936132512718
W64	0.20408163265306123	1	20.463427866847745	2.186272883743057	33.293963867911266	2.376671674868844	0.9426688784013055
W65	0.20408163265306123	1	20.752782542605956	2.2229708149619447	33.800109358535785	2.4214155916652387	0.9458720673131166
W66	0.20408163265306123	1	21.042104135177702	2.260220037333664	34.30431157592252	2.4668929379187725	0.9491028643653977
W67	0.20408163265306123	1	21.331259561557626	2.2980218560399917	34.806802422095615	2.513106577472844	0.952360913314323
W68	0.20408163265306123	1	21.62034313707183	2.3363824424566104	35.30757590355256	2.5600620254602275	0.9556457663549496
W69	0.20408163265306123	1	21.90931570362529	2.375307416486944	35.80676631949094	2.6077658591364203	0.9589572799244934
W70	0.20408163265306123	1	22.198245656770535	2.4148003121298456	36.30438299857045	2.6562207578404355	0.9622948601608959
W71	0.20408163265306123	1	22.48710116899613	2.454866938428413	36.800549096711485	2.705433352844038	0.965658388824457
W72	0.20408163265306123	1	22.775890920454994	2.495512208615165	37.29533629708266	2.755408640236398	0.9690475805626965
W73	0.20408163265306123	1	23.06462567835458	2.536741369097816	37.788813197049436	2.8061519606866185	0.9724621960807196
W74	0.20408163265306123	1	23.35330549521062	2.5785593432538754	38.28105557514795	2.8576683547782977	0.9759020084235382
W75	0.20408163265306123	1	23.64193362829796	2.6209706983865573	38.77213349262097	2.9099623153649623	0.9793667537340269
W76	0.20408163265306123	1	23.93051339027625	2.6639805133747676	39.262114814295636	2.963038941897574	0.9828562500043408
W77	0.20408163265306123	1	24.219048611983293	2.7075936709138384	39.75106327331155	3.0169030210695382	0.9863703059346409
W78	0.20408163265306123	1	24.50754298111498	2.7518150021695207	40.23904091110976	3.071559226601207	0.9899087444090316
W79	0.20408163265306123	1	24.79603918090724	2.796649821155574	40.726066804619585	3.1270123461553396	0.9934713591389939
W80	0.20408163265306123	1	25.084465038203398	2.842101888805266	41.21227497324785	3.1832664367152828	0.9970580901727198
W81	0.20408163265306123	1	25.3728638459899	2.888176444279681	41.697679467009195	3.2403260552523827	1.0006687529901488
W82	0.20408163265306123	1	25.661229017233403	2.9348765381180693	42.18234075991899	3.2981936882387406	1.004303097953026
W83	0.20408163265306123	1	25.949574122165924	2.9822139332509483	42.666305965387146	3.3568815869952155	1.007961612207858
W84	0.20408163265306123	1	26.23790027404821	3.030183138172215	43.14961110110173	3.4163819490864253	1.0116433929398487
W85	0.20408163265306123	1	26.526206707155225	3.0787894799820568	43.63231335163676	3.476699861906002	1.0153483423800092
W86	0.20408163265306123	1	26.8144967889486	3.1280438007354174	44.114453302155006	3.5378460374979572	1.0190770382147252
W87	0.20408163265306123	1	27.10278828039266	3.177947634190548	44.59606355133324	3.599820814431372	1.022829061162486
W88	0.20408163265306123	1	27.39107823572928	3.2285029786659476	45.07718536654723	3.6626248183487395	1.0266042032821556
W89	0.20408163265306123	1	27.679369921125495	3.2797173975295815	45.55785378998348	3.726264781414575	1.0304027300154655
W90	0.20408163265306123	1	27.967672782504632	3.331594145213083	46.03810923065556	3.790742991682878	1.0342244446032733
W91	0.20408163265306123	1	28.25597648287485	3.3841355958387567	46.517986835869	3.856060064108292	1.0380693173831854
W92	0.20408163265306123	1	28.54428992010373	3.4373459986161503	46.99751498430145	3.9222187250775975	1.0419373345178105
W93	0.20408163265306123	1	28.832623942183776	3.491229561155845	47.47672115064372	3.9892218445073473	1.0458284464980285
W94	0.20408163265306123	1	29.120979690759487	3.545789697668948	47.95563564794232	4.057071021186916	1.0497426582969127
W95	0.20408163265306123	1	29.40936792918233	3.6010323027191444	48.4342800698855	4.125770573681866	1.0536801324119585
W96	0.20408163265306123	1	29.69769381021819	3.656951680108597	48.91277054886533	4.1953126588293435	1.0576403392951428
W97	0.20408163265306123	1	29.986219801442736	3.7135645333436247	49.39088346843898	4.265710836294547	1.0616239120542932
W98	0.20408163265306123	1	30.274704997030224	3.770864860824876	49.86888081672715	4.3369581967366955	1.065630583719806
W99	0.20408163265306123	1	30.563235172294636	3.8288583250385346	50.34670415548843	4.409057707697404	1.0696604147599287
W0	0.40816326530612246	2	2.9981217099077115	0.7804674958313034	4.0795588977939365	0.782189346763552	0.5667437257481565
W1	0.40816326530612246	2	3.273511658191126	0.8147487571485192	4.559461160691374	0.8179952125217117	0.570480931922617
W2	0.40816326530612246	2	3.5494213789029976	0.8510051052881783	5.049740822817349	0.8560963104581072	0.5744631989627879
W3	0.40816326530612246	2	3.825343504552293	0.8891854825400889	5.547120924382908	0.8964387132843086	0.5786810925865515
W4	0.40816326530612246	2	4.101017988144047	0.9292492557553216	6.0489478276281465	0.9389719496342491	0.5831248015115901
W5	0.40816326530612246	2	4.376417840004729	0.971166875173182	6.55306847741204	0.9836492412852352	0.5877842161344836
W6	0.40816326530612246	2	4.65156712825221	1.0149149704398615	7.0579076667080285	1.0304259970649674	0.5926492889232844
W7	0.40816326530612246	2	4.926522432127903	1.0604754994751124	7.562354435392199	1.0792596029549553	0.5977101355307283
W8	0.40816326530612246	2	5.201298446759213	1.1078363642610236	8.065744487461677	1.1301119968345157	0.6029578274885115
W9	0.40816326530612246	2	5.476168242787902	1.1569951954252153	8.567416271191515	1.1829480334877653	0.6083832639584078
W10	0.40816326530612246	2	5.7509001203669285	1.207947913079469	9.067480474597705	1.237739119893793	0.6139802038285508
W11	0.40816326530612246	2	6.025653084646026	1.2606940502355044	9.565748041768513	1.2944520671682087	0.6197412605412145
W12	0.40816326530612246	2	6.300462102095373	1.3152375113859667	10.062274308069506	1.3530596189984267	0.625660749163671
W13	0.40816326530612246	2	6.575349167577837	1.3715804746662434	10.557184408273198	1.4135326721729875	0.6317336345489996
W14	0.40816326530612246	2	6.850325936889775	1.429725231275281	11.050646497644598	1.4758421298197772	0.6379556419976069
W15	0.40816326530612246	2	7.125398903735644	1.4896727965379164	11.542847777943646	1.5399575099129656	0.6443231863165233
W16	0.40816326530612246	2	7.400560422790837	1.5514234600113386	12.033994771222085	1.6058476978447387	0.6508335015062037
W17	0.40816326530612246	2	7.6758137920970615	1.614975392251758	12.524274228643016	1.673479026894613	0.657484260256946
W18	0.40816326530612246	2	7.951153053566996	1.6803238262819788	13.013870843002067	1.7428150512861007	0.6642736234781056
W19	0.40816326530612246	2	8.226609058977791	1.7474649509725089	13.502914691029712	1.8138191056962596	0.6712004232217342
W20	0.40816326530612246	2	8.50217111242793	1.8163884600035052	13.991562936058312	1.886449362485388	0.6782635127400441
W21	0.40816326530612246	2	8.777817368386827	1.8870846281697427	14.479971283313029	1.9606638663742817	0.6854629708781755
W22	0.40816326530612246	2	9.053572313606612	1.959539383870088	14.968222530757075	2.0364162067124085	0.6927983833102814
W23	0.40816326530612246	2	9.329462667394782	2.0337384770380527	15.45637563881926	2.113660405086506	0.7002696904210088
W24	0.40816326530612246	2	9.605464996503251	2.1096618317373763	15.94456179271449	2.192344153829167	0.7078776333868501
W25	0.40816326530612246	2	9.881566773671834	2.1872909906110967	16.432848915811917	2.2724185078870693	0.7156232165085348
W26	0.40816326530612246	2	10.15783060909891	2.2666014106915857	16.92122949705024	2.353827000743704	0.7235067322473003
W27	0.40816326530612246	2	10.434221674700588	2.34756874258496	17.40978577264288	2.436515929616265	0.7315298109798267
W28	0.40816326530612246	2	10.710734925103287	2.4301641759849377	17.898557441202986	2.520427802006697	0.7396936478925178
W29	0.40816326530612246	2	10.987375708923492	2.5143583275372707	18.38756684623284	2.605505085171036	0.7479997188435542
W30	0.40816326530612246	2	11.26414938517752	2.6001196787360943	18.876825239341347	2.6916895375762464	0.7564495435445965
W31	0.40816326530612246	2	11.54103078807754	2.687412271749125	19.366371602501257	2.7789205914403095	0.7650446668012169
W32	0.40816326530612246	2	11.818074418837366	2.776206419544169	19.85615796418065	2.867142696188128	0.7737875966641501
W33	0.40816326530612246	2	12.095234947009123	2.8664603629842436	20.346230870373628	2.9562933582927196	0.7826795770996988
W34	0.40816326530612246	2	12.372500969748987	2.9581362003374676	20.83659838382341	3.0463147388281975	0.791722824044287
W35	0.40816326530612246	2	12.64982667183918	3.051195879088306	21.327297733974145	3.1371519266205152	0.800919213981758
W36	0.40816326530612246	2	12.92730235082998	3.145596615347665	21.818234410177645	3.2287415113491713	0.8102713190210866
W37	0.40816326530612246	2	13.204852226278458	3.2412953031624507	22.309468969288833	3.321029000247734	0.8197811939347092
W38	0.40816326530612246	2	13.482493947065333	3.338250091538062	22.800967892706616	3.413959042649077	0.8294510567795804
W39	0.40816326530612246	2	13.760212201869418	3.436417580338485	23.292727965444918	3.507478025884924	0.8392832842107452
W40	0.40816326530612246	2	14.037993458796473	3.5357550264378874	23.784746888009266	3.60153635037481	0.8492800547628307
W41	0.40816326530612246	2	14.31583801334825	3.6362161264163597	24.277008955807055	3.6960810589391713	0.8594438259294852
W42	0.40816326530612246	2	14.593760692457456	3.737755120786602	24.769475045447038	3.791060670628671	0.8697768962655392
W43	0.40816326530612246	2	14.871645796946124	3.840326999125838	25.26224408474993	3.886431802557494	0.8802818462184946
W44	0.40816326530612246	2	15.149595928720531	3.943881870943069	25.755186322234763	3.982145832001462	0.8909611776200156
W45	0.40816326530612246	2	15.427559382441682	4.048385853777906	26.2483436711543	4.078167905826883	0.901817076693589
W46	0.40816326530612246	2	15.705523502794085	4.153768776398054	26.741690305925268	4.174428117438853	0.9128524564348395
W47	0.40816326530612246	2	15.983492272803304	4.260020659882652	27.235227264771225	4.270933406986396	0.9240691243710191
W48	0.40816326530612246	2	16.261471874404375	4.367092700915687	27.728921912171398	4.367634840871696	0.9354695968899835
W49	0.40816326530612246	2	16.53941717160758	4.474911238249464	28.222786316897825	4.464472523222073	0.9470568942455653
W50	0.40816326530612246	2	16.817303219783145	4.583449119037253	28.716840087601767	4.56143934960649	0.9588332529075712
W51	0.40816326530612246	2	17.095191376944793	4.692676270898565	29.211002499764568	4.658495962131729	0.9708008507150856
W52	0.40816326530612246	2	17.373161659138265	4.80254346889987	29.70517510260031	4.7556176708244	0.9829616680659403
W53	0.40816326530612246	2	17.650927132203297	4.913032046274807	30.199619776528213	4.852786942864876	0.9953188223255713
W54	0.40816326530612246	2	17.928634065007962	5.024048067335664	30.69419201484105	4.949963793511472	1.007875237981922
W55	0.40816326530612246	2	18.20629837750563	5.135597975178802	31.18887325331579	5.047135189629434	1.0206323782673834
W56	0.40816326530612246	2	18.48384301093046	5.247626345626157	31.683688270285266	5.144273845741786	1.0335931220193912
W57	0.40816326530612246	2	18.761361029111388	5.360088884522018	32.17856172901555	5.241372789687298	1.0467595494532593
W58	0.40816326530612246	2	19.038806117868866	5.472935797171545	32.673523089888896	5.338403466888747	1.0601342559035118
W59	0.40816326530612246	2	19.31616807684179	5.58620107091322	33.16855597923691	5.435365267952951	1.0737191675243423
W60	0.40816326530612246	2	19.593440109082596	5.699778543501768	33.66367538901035	5.5322243194137455	1.087516685590121
W61	0.40816326530612246	2	19.870643924973347	5.813681891796978	34.15884356840773	5.628989145578938	1.1015296101974579
W62	0.40816326530612246	2	20.147751556281385	5.9278561501899825	34.65409666850931	5.7256366987986675	1.1157593638186976
W63	0.40816326530612246	2	20.42475699603852	6.04228285586142	35.14940345256154	5.8221635059970565	1.130208247904694
W64	0.40816326530612246	2	20.701685543386656	6.156931974232693	35.64475296476449	5.918572141818559	1.14487862239401
W65	0.40816326530612246	2	20.97850323818864	6.271767629328528	36.14017211403358	6.014828849689703	1.1597729378638015
W66	0.40816326530612246	2	21.25528527816427	6.386770953951767	36.63558924118982	6.110935251825311	1.1748932841454829
W67	0.40816326530612246	2	21.531919737334345	6.50191329890849	37.13107901372024	6.206899692439367	1.1902416243606968
W68	0.40816326530612246	2	21.80848173079086	6.61716763620935	37.626598249069836	6.302700299816855	1.2058201411891711
W69	0.40816326530612246	2	22.084917874041263	6.732560353693408	38.1221779192447	6.398368604352564	1.2216311488994713
W70	0.40816326530612246	2	22.36130246110404	6.8479846619256515	38.617756464861216	6.493860626330673	1.237675662144601
W71	0.40816326530612246	2	22.637597084879108	6.963431100680106	39.11336941288464	6.589183325868173	1.2539556346362386
W72	0.40816326530612246	2	22.913795012878936	7.0789350502227535	39.60900099273441	6.684348962138985	1.2704743822084144
W73	0.40816326530612246	2	23.189922359178375	7.194469758754176	40.10465627757286	6.779360778558796	1.287232681575694
W74	0.40816326530612246	2	23.465962101383642	7.309995383259546	40.60032745318931	6.874203583027761	1.3042329792983234
W75	0.40816326530612246	2	23.74191676611413	7.42550087568002	41.09600724130765	6.968884840070825	1.3214768877045402
W76	0.40816326530612246	2	24.017797920520966	7.540977532863648	41.591720379299346	7.063399883442089	1.3389661880348345
W77	0.40816326530612246	2	24.29359835502515	7.656407627184453	42.087441559570124	7.157758339436037	1.356702604269096
W78	0.40816326530612246	2	24.569320517818802	7.771772987084234	42.5831754781001	7.251952235854379	1.3746882135139802
W79	0.40816326530612246	2	24.845005774026053	7.887069600360137	43.07888871617552	7.345991603679637	1.3929242908448896
W80	0.40816326530612246	2	25.120589285498077	8.002292730664802	43.57464788754711	7.439874333939826	1.4114130960751445
W81	0.40816326530612246	2	25.396100805695184	8.117409992579681	44.07041586403182	7.53360166994002	1.4301554674969343
W82	0.40816326530612246	2	25.671543193633617	8.232426178485982	44.56620258640258	7.6271847954043706	1.4491530949357772
W83	0.40816326530612246	2	25.94691972652939	8.34731939464402	45.062001287827506	7.720621180680724	1.4684081068452879
W84	0.40816326530612246	2	26.22223644822398	8.462106316237444	45.55781019312749	7.8139087317217	1.4879212641118171
W85	0.40816326530612246	2	26.497491682763155	8.576763549723319	46.05363221803556	7.907057044529887	1.507694323471805
W86	0.40816326530612246	2	26.772683367657535	8.691289396721597	46.54947229488109	8.000067270634641	1.5277292938238265
W87	0.40816326530612246	2	27.047826003304003	8.805673771875448	47.04531620976151	8.092939909477613	1.5480273073245032
W88	0.40816326530612246	2	27.32292212355166	8.919922556746169	47.54117313321635	8.185692486253165	1.5685893738735635
W89	0.40816326530612246	2	27.597961628221476	9.034017933402952	48.03703884976873	8.278308773774517	1.5894169707202364
W90	0.40816326530612246	2	27.872960441955975	9.147961490392703	48.53291521510604	8.370799543509618	1.6105114543348118
W91	0.40816326530612246	2	28.14790560800628	9.261749457796977	49.028812540617245	8.463169274517362	1.6318739460378524
W92	0.40816326530612246	2	28.42280392550543	9.375377793336387	49.52472861763945	8.555423121318496	1.6535055825498002
W93	0.40816326530612246	2	28.69765890749204	9.48884689525173	50.020656320017686	8.647563346421117	1.675407648882761
W94	0.40816326530612246	2	28.972472939545597	9.602155077901578	50.516600671705135	8.739592977857358	1.6975812265465189
W95	0.40816326530612246	2	29.24725116399637	9.715298972875775	51.012556729874824	8.831513733899191	1.7200276622009714
W96	0.40816326530612246	2	29.52191084265345	9.828270420328998	51.508611826558834	8.923325704102133	1.7427467155603644
